id;nombre;descripcion;precio;precio_gratis;dispositivo_id
1;gosh rubbery;slink usually boo;18323.31;18677.75;1
2;bah gee anneal;versus redound;20674.78;24335.98;2
3;duh;defiantly;17381.01;26488.82;3
4;readmit ew hopelessly;while including gah;7377.83;15779.12;4
5;bump pretend as;approximate meanwhile develop;1953.6;22900.18;5
6;pfft gadzooks personalise;hose;17292.69;9842.18;6
7;across yowza;tightly;9697.48;31474.59;7
8;and amongst eventually;gah instructor tentacle;21415.68;18441.17;8
9;mountain kindly without;incidentally scornful;14035.18;24935.28;9
10;including after;confute rudely;6286.77;23810.76;10
