id;codigo;nombre;descripcion;precio_base;moneda
1;circa;about;fleck bleakly indeed;23713.79;EUR
2;upward;character until;why;19070.05;ARS
3;failing finally via;concentration;brr;29760.08;USD
4;across or rejigger;whenever deduct;within duh toward;1431.58;USD
5;moist phony;turbulent;concerning possible;5649.4;EUR
6;for fooey tempting;regarding;pink;32669.26;EUR
7;graceful aside;hm oh saturate;zowie gee;25872.66;ARS
8;restaurant;adjourn underplay;blaring excitable modulo;27381.84;USD
9;fair efface acidly;courageously large faithfully;courtroom;13413.26;EUR
10;youthfully;stratify artistic;repeatedly;13876.16;EUR
