id;codigo;nombre;descripcion;precio_adicional;personalizacion_id
1;ride frankly over;across besides now;effector with fooey;20653.47;1
2;brightly esteemed;arcade because since;down;8884.37;2
3;accurate mature;and masticate dimly;shoulder;2805.25;3
4;even;or;near inquisitively;1546.28;4
5;partially fowl instantly;shadowbox;safeguard zowie;2690.63;5
6;vision leading;overconfidently beyond;useless;27163.58;6
7;table provided juvenile;scheme platypus filter;whereas orderly commemorate;17464.85;7
8;disgorge;sushi following resort;because valiantly astride;20252.97;8
9;jumbo;decongestant blah ugh;whenever drat;4992.77;9
10;ignorant habit;octave when hmph;psst;2845.91;10
